ID;Atasözü/Deyim;Anlamı;Zorluk;Kategori;Örnek;Yanlış Cevap 1;Yanlış Cevap 2;Yanlış Cevap 3
374;Sürüden ayrılmak;Herkesin tuttuğu yolu bırakıp ayrı bir yol tutturmak, herkesin yaptığını yapmamak.;2;genel;;Nerede hareket, orda bereket;Postu kurtarmak;"Bir kulağından girip öbür
kulağından çıkmak"
375;Sürüncemede kalmak;Bir iş sonuçlanıncaya kadar boş yere gecikmek, uzamak, askıda kalmak, bir türlü sonuçlanamamak.;2;genel;;Ateş düştüğü yeri yakar;"Sarhoştum aydım, böyle
yaşamaktan caydım";Tepeden bakmak
376;Sütüne havale etmek;İşi, beklenen biçimde yapmasını o kişinin vicdanına bırakmak. - 95;2;genel;;Gırgıra almak;Saçına ak düşmek;Başa gelmeyince bilinmez
377;Şafak atmak;Öfkelenmek.;2;genel;;Eli boş dönmek;Ağlamakla yâr ele geçmez;"Akıllı köprü arayıncaya dek
deli suyu geçer"
378;"Şeytana pabucu ters
giydirmek";Çok kurnaz olmak.;2;genel;;İçi açılmak;Göbeği çatlamak;"Kaşıkla verip kepçeyle geri
almak"
379;Şeytanın bacağını kırmak;Uğursuzluğu, şanssızlığı, aksiliği yenmek.;2;genel;;Yaş tahtaya basmamak;İç çekmek;"Aba vakti aba, yaba vakti
yaba"
380;Şifayı bulmak;Hastalanmak veya hastalığı artmak;2;genel;;"Bülbülü altın kafese
koymuşlar, ah vatanım demiş";Can boğazdan gelir;Her kuşun eti yenmez
381;Taban tepmek;Uzun yol yürümek.;2;genel;;Zeytinyağı gibi üste çıkmak;"Karda gezip izini belli
etmemek";"Acıkmış kudurmuştan
beterdir"
382;Tabanları yağlamak;Uzak bir yere yayan gitmeye hazırlanmak.;2;genel;;İpliği pazara çıkmak;Punduna getirmek;"Tavuğun sadakası bir
yumurta"
383;"Tadı damağında kalmak
Hoşa giden, zevk alınan bir şeyi
unutamamak.
384-Tadı tuzu kalmamak";Eski zevki kalmamak, yavanlaşmak.;2;genel;;Züğürt tesellisi;Balık baştan avlanır;Bindiği dalı kesmek
385;Tadına doyum olmamak;Herhangi bir şey çok beğenilmek.;2;genel;;"Çok havlayan köpek
ısırmaz";Akıl yaşta değil baştadır;"Tilkinin dönüp dolaşıp
geleceği yer kürkçü dükkânıdır"
386;Tadında bırakmak;Güzel giden bir şeyi tatsız bir duruma sokacak ölçüsüzlüğe vardırmamak.;2;genel;;"Tekkeyi bekleyen çorbayı
içer";Kökünden halletmek;Dünyayı tozpembe görmek
387;Takıp takıştırmak;Özenerek süslenmek.;2;genel;;Keli görünmek;Ne oldum delisi olmak;"Elin ağzı torba değil ki
büzesin"
388;Tam adamına çatmak;Olumsuz bir davranış ve tutum içinde bulunan kimseyle karşı karşıya gelmek.;2;genel;;"Kar ne kadar çok yağsa
yaza kalmaz";Nabzına göre şerbet vermek;Yerinde yeller esmek
389;Tam üstüne basmak;Doğru olanı, istenileni bulmak. - 96;2;genel;;Yakışık almamak;İşi aksi gitmek;Parasını sokağa atmak
390;Tarihe karışmak;Unutulmak, yalnız adı kalmak.;2;genel;;Yan gözle bakmak;Elçiye zeval olmaz;Son noktayı koymak
391;Tası tarağı toplamak;Gitmek üzere bütün eşyasını toplamak.;2;genel;;Esamisi okunmamak;Parasıyla rezil olmak;Sıfırdan başlamak
392;Taşı gediğine koymak;Gerekli bir sözü tam zamanında ve yerinde söyleyerek karşısındaki kimseyi susturmak, zekice davranmak.;2;genel;;Kemer sıkmak;Altının kıymetini sarraf bilir;Pabucunu ters giydirmek
393;Tefe koymak;Biri hakkında alaylı dedikodu yapmak.;2;genel;;"Acıyan uyumuş, acıkan
uyumamış";Cendereye sokmak;Vakit öldürmek
394;"Tencerede pişirip kapağında
yemek";Geçinme konusunda var olanla yetinmek.;2;genel;;"Ağlar gözden, sahte sözden
kendini sakın";"Kaşıkla verip kepçeyle geri
almak";Tezgâhı kurmak
395;Tepeden bakmak;Küçümsemek.;2;genel;;"Bu ne perhiz bu ne lahana
turşusu!";"Bir koltuğa iki karpuz
sığmaz";"Burnunu sıksan canı
çıkacak"
396;Tepesinde havan dövmek;Üst katta oturan biri, gürültü yaparak alt kattakini rahatsız etmek.;2;genel;;"Ak gün ağartır, kara gün
karartır";"Akılsız başın cezasını ayaklar
çeker";İş çığırından çıkmak
397;Tepesine binmek;Genellikle kendinden daha güçsüz kimseleri ezmek, kötü davranmak.;2;genel;;Rüzgârdan nem kapmak;İçine sinmek;Tepesinde havan dövmek
398;Tepeden tırnağa süzmek;Herhangi bir sebeple birine dikkatlice bakmak.;2;genel;;Çizmeyi aşmak;Ölüm Allah’ın emri;İş olacağına varır
399;"Tepesinden kaynar sular
dökülmek";Üzüntülü veya kötü bir olay karşısında birdenbire büyük bir sıkıntı duymak.;2;genel;;Tüyleri ürpermek;Çivi çiviyi söker;Havsalası almamak
400;Tepesinin tası atmak;Birdenbire çok sinirlenmek. - 97;2;genel;;Kara çalmak;Zeval vermemek;İçi bayılmak
401;Tereciye tere satmak;Birine çok iyi bildiği bir şeyi öğretmeye kalkmak.;3;genel;;Toz kondurmamak;"Al malın iyisini, çekme
kaygısını";Balık baştan kokar
402;Ters düşmek;Aykırı durumda olmak, karşıt olmak;3;genel;;"İstediğini söyleyen,
istemediğini işitir";Parmağı ağzında kalmak;Yaraya tuz biber ekmek
403;Ters tarafından kalkmak;Aksiliği, huysuzluğu, tersliği üzerinde olmak.;3;genel;;Arı bal alacak çiçeği bilir;Yük altına girmek;"Kişinin kendine ettiğini
kimse edemez"
404;Tersine dönmek;Beklenildiği, umulduğu gibi gerçekleşmemek, aksi olmak.;3;genel;;İçine daralma gelmek;Öpüp başına koymak;Kürek kadar dili olmak
405;Teselli bulmak;Avunmak.;3;genel;;Gözünü dört açmak;"Ak koyunun kara kuzusu da
olur";"Yağmurdan kaçarken doluya
tutulmak"
406;Tezgâhı kurmak;İşe başlamak üzere çalışma araçlarını hazırlamak, çalışmaya başlamak.;3;genel;;Paranın yüzü sıcaktır;Fareler cirit oynamak;Kelleyi koltuğuna almak
407;Tıka basa doldurmak;Doldururken çok bastırıp sıkıştırmak.;3;genel;;Kapıyı göstermek;İbret almak;Çoğu zarar, azı karar
408;Tıka basa yemek;Mideye sıkıntı verecek kadar çok yemek.;3;genel;;"Korkunun ecele faydası
yoktur";Yarım elma, gönül alma;Kulağına kar suyu kaçmak
409;Tilki uykusuna yatmak;Uyuyormuş gibi yaparak fırsat kollamak.;3;genel;;"Kabahat samur kürk olsa,
kimse sırtına almaz";"Ağaca balta vurmuşlar
“sapı bedenimden” demiş";Başa gelmeyince bilinmez
410;Tongaya basmak;Kendisini kötü bir duruma düşürmek için hazırlanan bir düzene uğramak, tuzağa düşmek.;3;genel;;"Olacakla öleceğe çare
bulunmaz";Toz kondurmamak;Havanda su dövmek
411;Topa tutmak;Kötü eleştiri amaçlı saldırmak. - 98;3;genel;;"Kısmetsiz köpek, sabaha
karşı uyuyakalır";İpi koparmak;"Altın eşik gümüş eşiğe muhtaç
olur"
412;Toz kondurmamak;Bir şeyde herhangi bir kusurun varlığını kabul etmemek, bir şeyi kusursuz göstermek.;3;genel;;Kanaat gibi devlet olmaz;"Ağaç ne kadar uzarsa göğe
ermez";Yakasını bırakmamak
413;Tozu dumana katmak;Ortalığı altüst etmek.;3;genel;;"Komşunun tavuğu komşuya
kaz görünür";"Satılık ziftin olsun,
Selanik’ten kel gelir";"Suratından düşen bin parça
olmak"
414;Treni kaçırmak;Bir şeyi elde etme, bir işi gerçekleştirme fırsatını ve imkânını yitirmek.;3;genel;;İçinden gelmek;"Suratından düşen bin parça
olmak";"Tilki tilkiliğini anlatıncaya
kadar post elden gider"
415;Turnayı gözünden vurmak;Umulmadık bir kazanç veya çıkar sağlama imkânı ele geçirmek.;3;genel;;"Kabahat samur kürk olsa,
kimse sırtına almaz";Kapıyı göstermek;Balta değmedik ağaç olmaz
416;Turşusunu kurmak;Bir şeyin elden çıkarılması gerektiği hâlde buna bir türlü kıyamamak.;3;genel;;Soyup soğana çevirmek;Sabrı taşmak;"Çağrılan yere erinme,
çağrılmayan yere görünme"
417;Turşuya dönmek;Çok yorulmak, bitkinleşmek.;3;genel;;Meydana getirmek;"Ağaca çıksa pabucu yerde
kalmaz";Ne kokar ne bulaşır
418;Tuttuğu dal elinde kalmak;Dayandığı, güvendiği kimse veya şey önemini yitirerek işe yaramaz duruma gelmek.;3;genel;;"Vakitsiz öten horozun başını
keserler
Her söz yerinde ve zamanında
söylenmelidir. Zamansız ve yersiz
söylenen sözler büyük
zararlara yol açabilir.
485-Vermeyince mabut, neylesin
Sultan Mahmut";Sallantıda bırakmak;"Davetsiz gelen döşeksiz
oturur"
419;Tuttuğunu koparmak;Becerikli olmak, giriştiği her işte başarı sağlamak.;3;genel;;"Kar ne kadar çok yağsa
yaza kalmaz";Kaşlarını çatmak;"Bir kulağından girip öbür
kulağından çıkmak"
420;Tuzluya mal olmak;Çok para vererek satın almak, çok pahalı gelmek.;3;genel;;"Yanlış hesap Bağdat’tan
döner";"Sütten ağzı yanan ayranı
üfleyerek içer";Her kuşun eti yenmez
421;Tükürdüğünü yalamak;Verdiği sözden benliğini küçülterek geri dönmek.;3;genel;;Canını dişine takmak;"Bacak kadar boyu var,
türlü türlü huyu var";Fincancı katırlarını ürkütmek
422;Türkü yakmak;Türkü sözünü bestelemek. - 99;3;genel;;"Herkes gider Mersin’e, biz
gideriz tersine";Parasını sokağa atmak;Sırra kadem basmak
423;Tüyleri diken diken olmak;Üşümekten veya korkmaktan vücuttaki kılların dipleri kabarıp kıllar dikilmek.;3;genel;;"Aş taşınca kepçeye paha
olmaz";"Dağ ne kadar yüce olsa yol
üstünden aşar";"Lokma karın doyurmaz,
şefaat artırır"
424;Tüyleri ürpermek;Kötü bir olay, soğuk, gıcıklanma vb. sebeplerle korku veya tiksinti duymak.;3;genel;;Pahalıya mal olmak;"Üşüntü köpekler mandayı
paralar";"Tencerede pişirip kapağında
yemek"
425;Ucuz atlatmak;Zor veya tehlikeli durumdan az zararla sıyrılmak.;3;genel;;"Hacı hacıyı Mekke’de, derviş
dervişi tekkede bulur";Tilki uykusuna yatmak;"Kaşıkla verip kepçeyle geri
almak"
426;Ucu bucağı olmamak;Başı sonu olmamak.;3;genel;;Sıfırdan başlamak;Üstünde durmak;"Zürefanın düşkünü, beyaz
giyer kış günü"
427;Uçan kuşa borcu olmak;Pek çok kişiye borçlu olma.;3;genel;;"On parmağında on marifet
olmak";"Çocuğu iş buyuran,
ardınca kendi gider";"Yanlış hesap Bağdat’tan
döner"
428;Umudu boşa çıkmak;Beklentisi, umudu gerçekleşmemek, hayal kırıklığına uğramak.;3;genel;;Kelleyi koltuğuna almak;Cendereye sokmak;Can boğazdan gelir
429;Umudunu kesmek;Artık olacağını beklememek.;3;genel;;Kemer sıkmak;İp inceldiği yerden kopar;Dost acı söyler
430;Uyku bastırmak;Çok uykusu gelmek.;3;genel;;Fareler cirit oynamak;Her kuşun eti yenmez;Saati saatine uymamak
431;Üstünde durmak;Bir işe önem vermek, bir işle yakından ve sürekli ilgilenmek.;3;genel;;Etek öpmek;Tadına doyum olmamak;Paraya kıymak
432;Üstüne alınmak;Bir davranışın kendisine karşı olduğunu sanarak tedirgin olmak, alınmak.;3;genel;;"Avcı ne kadar hile al bilse ayı
o kadar yol bilir";Saat gibi işlemek;Mekik dokumak
433;Üstüne toz kondurmamak;Bir şeyin veya kimsenin kusurlu olabileceğini kabul etmemek.;3;genel;;Çivi çiviyi söker;İbadet de gizli, kabahat de;"Bin nasihatten bir musibet
yeğdir"
434;Üstüne üstüne gitmek;Çekinmeden sonucu tehlikeli olabilecek bir şeyle uğraşmak, yılmamak. - 100;3;genel;;Damlaya damlaya göl olur;Hamama giren terler;Karnı zil çalmak
435;Üstüne vazife olmamak;Görevi olmamak, o görev kendini ilgilendirmemek.;3;genel;;"Arı söğüdü, akıllı öğüdü
sever";"Allah verirse el getirir, sel
getirir, yel getirir";"Dünyanın kaç bucak
olduğunu anlamak"
436;Vakit öldürmek;Zamanı yararsız, gereksiz işlerle veya iş yapmadan geçirmek.;3;genel;;"Evden bir ölü çıkacak
demişler, herkes hizmetçinin
yüzüne bakmış";Rahat yüzü görmemek;Selam verdik, borçlu çıktık
437;Varlıkta darlık çekmek;Herhangi bir engel yüzünden elindeki imkândan yararlanamamak.;3;genel;;Lafa tutmak;Bağı ağlayanın yüzü güler;Ekmek aslanın ağzında
438;Vebal altında kalmak;Manevi sorumluluk yüklenmek.;3;genel;;Gam çekmek;"Terzi kendi söküğünü
dikemez";"İki yakası bir araya gelmemek
Geçim sıkıntısından bir türlü
kurtulamamak, borçtan
kurtulamamak.
165-İnce eleyip sık dokumak"
439;Volta atmak;Bir aşağı bir yukarı dolaşmak.;3;genel;;"Kar ne kadar çok yağsa
yaza kalmaz";Tongaya basmak;İçini karartmak
440;Yabancılık çekmek;Bir iş veya çevrede yabancı olmaktan doğan güçlüklere uğramak.;3;genel;;"Kedinin gideceği samanlığa
kadar";Nefesini tutup beklemek;"Demir nemden, insan
gamdan çürür"
441;Yağmasa da gürlemek;Elinden bir şey gelmese de sözle destek vermek.;3;genel;;Sürüncemede kalmak;Al elmaya taş atan çok olur;Suya sabuna dokunmamak
442;Yağıp gürlemek;Birden çok sinirlenmek.;3;genel;;Pire için yorgan yakmak;Her ağaçtan kaşık olmaz;"Borçlu ölmez, benzi
sararır"
443;"Yağmur yağarken küpünü
doldurmak";Fırsat varken ondan yararlanıp para veya mal edinmek.;3;genel;;"Kedinin gideceği samanlığa
kadar";Pireyi deve yapmak;Borç yiğidin kamçısıdır
444;"Yağmurdan kaçarken doluya
tutulmak";Güç bir durumdan kurtulayım derken daha kötüsüyle karşılaşmak.;3;genel;;"Gel demesi kolay ama git
demesi güçtür";"Danışan dağı aşmış,
danışmayan düz yolda şaşmış";Ölçüyü kaçırmak
445;Yakasına yapışmak;Hesap sormak veya bir şey istemek için tutup bırakmamak. - 101;3;genel;;İğne ipliğe dönmek;"İncir çekirdeğini
doldurmamak";Yanlış kapı çalmak
446;Yakasını bırakmamak;Bezdirecek kadar üstüne düşmek, rahat vermemek, ısrar etmek.;3;genel;;Ölüm hak miras helal;"Dilden gelen elden gelse
her fukara padişah olur";Üstüne toz kondurmamak
447;Yakayı ele vermek;Kaçamayarak ele geçmek, yakalanmak.;3;genel;;Erken kalkan yol alır;Can evinden vurmak;"Mal adama hem dost hem
düşmandır"
448;Yakışık almamak;Yerinde olmamak, uygun düşmemek.;3;genel;;Tadına doyum olmamak;"Ağaç ne kadar uzarsa göğe
ermez";"Adı çıkmış dokuza, inmez
sekize"
449;Yan çizmek;Bir işten kaçmak .;3;genel;;Ne ekersen onu biçersin;"Bostana dadanan eşeğin
kuyruğu, kulağı olmaz";Su gibi ezberlemek
450;Yan gelip yatmak;Bir işe karışmayarak rahatına bakmak, keyfince yaşamak.;3;genel;;Aslan yatağından belli olur;Yakayı ele vermek;Gına gelmek
451;Yan gözle bakmak;Belli etmeden, göz ucuyla bakmak.;3;genel;;"Dost dostun ayıbını
yüzüne söyler";Kan beynine sıçramak;Başa gelmeyince bilinmez
452;Yanına bırakmamak;Cezasız bırakmamak, öç almak.;3;genel;;Diline düşmek;"Cins kedi ölüsünü
göstermez";"Dağ ne kadar yüce olsa yol
üstünden aşar"
453;Yanına kâr kalmak;Cezasız kalmak.;3;genel;;Hüsrana uğramak;Turşuya dönmek;Parmakla gösterilmek
454;Yangına körükle gitmek;Gerginliği, uzlaşmazlığı artıracak biçimde davranmak .;3;genel;;Çok bilen çok yanılır;Sinek avlamak;"Islanmışın yağmurdan
pervası yoktur"
455;Yanlış kapı çalmak;İsteğinin yapılmayacağı, yersiz sayılacağı bir yere başvurmak.;3;genel;;"Mart dokuzunda çıra yak,
bağ buda";"Akıllı köprü arayıncaya dek
deli suyu geçer";Göz boyamak
456;Yaraya merhem olmak;Zorunlu ihtiyacı karşılamak.;3;genel;;Dünyalara değişmemek;"Kaşıkla verip kepçeyle geri
almak";"Mart dokuzunda çıra yak,
bağ buda"
457;Yaraya tuz biber ekmek;Bir derdin acısını çoğaltmak.;3;genel;;İn cin top oynamak;"At, adımına göre değil
adamına göre yürür";Kan ter içinde kalmak
458;Yarı yolda bırakmak;Yapılan yardımı sonuna kadar sürdürmemek.;3;genel;;Tüyleri ürpermek;Alıcı kuşun ömrü az olur;Karnı zil çalmak
459;Yaş akıtmak;Ağlamak. - 102;3;genel;;"Şeytana pabucu ters
giydirmek";Akacak kan damarda durmaz;Teşbihte hata olmaz
460;Yaş tahtaya basmamak;Bir işte uyanık davranarak aldanmamak.;3;genel;;"Mal sahibi mülk sahibi, hani
bunun ilk sahibi";"Bin bilsen de bir bilene
danış";Sırtı yere gelmemek
461;Yatak yorgan yatmak;Ağır hasta olmak.;3;genel;;"Eski düşman dost olmaz,
yenisinden vefa gelmez";Sırtından geçinmek;Rüzgârdan nem kapmak
462;Yaygarayı basmak;Bağırıp çağırmak.;3;genel;;Mürekkep yalamak;"Kişinin kendine ettiğini
kimse edemez";Türkü yakmak
463;Yelkenleri suya indirmek;Direnmekten vazgeçip karşısındakinin dediğini benimsemek, kabul etmek.;3;genel;;Parsayı başkası toplamak;Dikiş tutturamamak;"On parmağında on marifet
olmak"
464;Yer yarılıp içine girmek;Yitirilip bir türlü bulamamak.;3;genel;;Hak yerini bulur;"Kısmet gökten zembille
inmez";"Sinek küçüktür ama mide
bulandırır"
465;Yerden yere vurmak;Birine türlü yönlerden saldırarak onu çok aşağılayıcı bir duruma düşürmek.;3;genel;;Dost acı söyler;Zirveye çıkmak;"Karga kekliği taklit edeyim
derken kendi yürüyüşünü
şaşırmış"
466;Yere çalmak;Yere atmak, yere fırlatmak.;3;genel;;Göğüs geçirmek;Yakayı ele vermek;"Kork Allah’tan
korkmayandan"
467;Yeri göğü birbirine katmak;Aşırı telaş yaratmak.;3;genel;;"Pilav yiyen kaşığını
yanında taşır";İki kaptan bir gemiyi batırır;Kabir azabı çekmek
468;Yerin dibine geçmek;Çok utanıp sıkılmak.;3;genel;;"Taşıma su ile değirmen
dönmez";Kepenek altında er yatar;"Komşu ekmeği komşuya
borçtur"
469;Yerinde yeller esmek;Artık bulunmamak, yok olmak.;3;genel;;"Emek olmadan yemek
olmaz";Sürüden ayrılmak;Ömür çürütmek
470;Yerle bir etmek;Temeline kadar yok etmek, tahrip etmek.;3;genel;;"Kedinin boynuna ciğer
asılmaz";Çıkmadık canda umut var;Punduna getirmek
471;Yeşil ışık yakmak;Uygun olabileceğini, izin verilebileceğini belli etmek.;3;genel;;Meydanı boş bulmak;"Bir dediği bir dediğini
tutmamak";El değiştirmek
472;Yılanın kuyruğuna basmak;Kötü bir kimseye kötülük yapacak fırsat vermek. - 103;3;genel;;Yatak yorgan yatmak;"Bir baş soğan bir kazanı
kokutur";"Ayağını yorganına göre
uzatmak"
473;Yıldızları barışmamak;Görüş, duygu ve düşünce bakımından uyuşmamak.;3;genel;;"İki ayağını bir pabuca
sokmak";"Ucuz etin yahnisi yavan
olur";İki aslan bir posta sığmaz
474;Yoluna can vermek;Birinin uğruna ölmek.;3;genel;;Yağmasa da gürlemek;"Ak gün ağartır, kara gün
karartır";Tıka basa yemek
475;Yuları birinin elinde olmak;Bir kimsenin davranışları birinin denetiminde, yönetiminde olmak.;3;genel;;Deveye hendek atlatmak;İğne ile kuyu kazmak;"İğne deliğinden Hindistan’ı
seyretmek"
476;Yuları ele kaptırmak;Birinin sözünden çıkmayacak duruma gelmek, kendi iradesiyle davranmamak.;3;genel;;İçi cız etmek;Tozu dumana katmak;"Damdan düşen, damdan
düşenin hâlini bilir"
477;Yumurta kapıya dayanmak;Yapılacak iş için zaman çok daralmak.;3;genel;;Ters tarafından kalkmak;Kâğıt üzerinde kalmak;El değiştirmek
478;Yumurtaya kulp takmak;Bahane bulmakta usta olmak.;3;genel;;İçinden geçirmek;"Olacakla öleceğe çare
bulunmaz";Canımı sokakta bulmadım
479;Yuvasını bozmak;Ev ve aile düzenini dağıtmak.;3;genel;;İştah dişin dibindedir;Acı patlıcanı kırağı çalmaz;"Komşu ekmeği komşuya
borçtur"
480;Yük altına girmek;Ağır bir görevi üzerine almak.;3;genel;;Yakasını bırakmamak;"Borç ödemekle, yol
yürümekle tükenir";Muradına ermek
481;Yüreği ağzına gelmek;Birdenbire çok korkmak, aşırı korku veya sevinçten fazlasıyla heyecanlanmak, endişelenmek.;3;genel;;Sevinçten havalara uçmak;"Cehenneme atsalar odun yaş
diye bağırır";Saati saatine uymamak
482;Yüreği hop etmek;Birdenbire korkup heyecanlanmak.;3;genel;;"Karıncadan ibret al,
yazdan kışı karşılar";Balık kavağa çıkınca;Tabanları yağlamak
483;Yüreği kan ağlamak;Derinden acı duymak, çok üzülmek.;3;genel;;Daldan dala konmak;Hak yerini bulur;Son noktayı koymak
484;Yüreğine ateş düşmek;Felakete uğramak, çok üzülmek. - 104;3;genel;;"Bostana dadanan eşeğin
kuyruğu, kulağı olmaz";Pabucunu ters giydirmek;"Çobanın gönlü olursa
tekeden süt çıkarır"
